"film_title","languages","colour","format","producer","cert_no","cert_date","endorsement","rule_applied","original_length_m","length_deleted_m","final_length_m","deletions","reductions","insertions","replacements","gazette_identifier","gazette_date","source_url"
"Thottal Sudutn","Tamil","Col.","","Hayagrceva Films, Madras.","4319","5-5-82","A","","","","","[3] Delete all shots of Kamala in bathroom, all shots of Manager's face seen from inside the bathroom, and all shots of Manager seen from inside the bathroom at Shanti washing her sari. (6.1 m) || [4] Delete all visuals from the time Uma puts her leg over Manager till the end of the scene, and the dialogue of one employee 'Amina rubbarai naan parkave illai'. (14.63 m) || [4] Delete the dialogue of Manager to the carrier woman—'Munnalc efinathan oru mathiriya irukkum—pinnalc erinakoodava appadi irukkum'. (2.44 m) || [4] Delete the dialogue of Lala after seeing the rickshakaran ‘Indha kalathilUm yaraium namba mudl-yalla che cho’. (3.05 m) || [4] Delete shot of nude photograph in close and mid-close shot wherever they occur where the rickshakaran attacks the manager. (4.57 m) || [6] Delete the flash back intercut shots of Kamala in bathroom as imagined by manager in Mohan's house. (2.13 m) || [6] Delete the dialogue of Mohan to Kamala 'from Mahabarathathil...to Sandaya poda chollare'. (3.96 m) || [6] Delete the shots of Kamala pouring kerosene on herself and setting fire with matchstick, and all intercut shots of Kamala burning, retaining only shot of Kamala after rickshakaran and Snanti getting into room. (1.22 m) || [7] Delete visuals of Uma's cleavage when she talks to the manager and blackmails him. (7.32 m) || [7] In the sequence where Uma is drowned in bath tub, delete all shots of Uma and Kumar in mask, retaining only the last shot of dead Uma in bath tub before Kumar leaves bathroom. (12.95 m) || [9] Delete all shots of Kumar being punches in the stomach by the gang. (0.91 m)","","","[5] In 'Om, Om, Om' in cabaret, replace with 'Tom, Tom, Tom'. (0 m) || [5] In cabaret dance song, replace 'Travil ma-dalvirlyum' with 'Travil pani vazbiyum'. (0 m)","in.gazette.1983.400","1983-07-23T00:00:00Z","https://archive.org/details/in.gazette.1983.400"
"Sinhasan","Marathi","","","Shri D.V. Rao, Shri Jabbar Patel","B/F-344","","U","","","","","[IV] Delete the sentence 'Suralya karoon ghala' in the dialogue. (13.9 m) || [VII] Delete the expression 'Randsali'. (68.4 m) || [VI & XIII] Delete the abusive words 'Bhosadicha' and 'Bhadavya' wherever they appear. (13 m)","","","","in.gazette.1983.401","1983-07-30T00:00:00Z","https://archive.org/details/in.gazette.1983.401"
"The In-Laws","English","Colour","35 mm.","Arthur Hillier and William Sackheim","B/F-206","","U","","2815.74","26.21","2789.53","","[V] Reduce the shots showing the nude large photograph of the lady to the barest minimum for continuity. (26.21 m)","","","in.gazette.1983.401","1983-07-30T00:00:00Z","https://archive.org/details/in.gazette.1983.401"
"Anjaarn","Hindi","Colour","","Shri D.V. Rao","B/82801","","U","","3674.71","267.98","3406.75","[I] Delete the hunting song at the beginning with atmospheric shots. (118 m) || [IV] Delete the complete song starting with 'Jane Man Chhod kar Apni Sharmo Haya' and ending with 'Aise Aiso Adayen, Dikhayoongoe Hum', along with the scenes before and after the song. (149.96 m)","","","","in.gazette.1983.401","1983-07-30T00:00:00Z","https://archive.org/details/in.gazette.1983.401"
"Manuyaro","Gujarati","Colour","","Ram Kariat Associates & Shobhana Prem Combines","B/F-326","","U","","3935.95","396.24","3877.09","[IV, VII, X, & XII] Delete all sequences where the eunuch appears with the comedian and his fiancee. (396.24 m)","","[IV] Add comedian's request to his father-in-law about marrying his daughter. (313.7 m) || [VII] Add the marriage scene of the comedian and his fiancee. (119 m) || [IX] Add comedian approaching his friend Baharoopia for help in escaping from the cell. (48.7 m) || [X] Add comedian, his fiancee, and friend Bahuroopia going to Khandar and performing a play (Tamasha) for the soldier. (48.7 m) || [XII] Add comedian and his wife visiting a temple for wishes to be granted. (58.2 m)","","in.gazette.1983.401","1983-07-30T00:00:00Z","https://archive.org/details/in.gazette.1983.401"
"Jagi Bhag Hamar","Bhojpuri","Colour","","M/s. Swar Chitra","B/F-331","","U","","3949.01","13.06","3935.95","","[XV] Reduce the rape sequence drastically, particularly deleting shots after Moti falls on Sone until her ring is seen. (13.06 m) (retained: 7.5 m)","","","in.gazette.1983.401","1983-07-30T00:00:00Z","https://archive.org/details/in.gazette.1983.401"
"Dhan Daulat","Hindi","Colour","","Shilpakar","B/F-345","","U","","4624.44","13.9","4610.54","[IX] Delete derogatory references to the caste 'Sunar' in the dialogue. (13.9 m)","[XVIII] Reduce suitably in length and impact the last fight sequence. (13.9 m) (retained: 68.4 m)","","","in.gazette.1983.401","1983-07-30T00:00:00Z","https://archive.org/details/in.gazette.1983.401"
"Death Dimension","English","Colour","","Harry Hope for Spectacular Film Productions & Nicholas Communication Inc.","B/90584","","U","","51.82","11.64","40.18","Delete the shot where a hand uncovers a transparent screen revealing Kelly's girlfriend screaming with bare bosom (main title appears on this shot). (5.73 m) || Delete the shot where a henchman attacks another man with a ring worn on his finger, accompanied by a scream. (1.13 m) || Delete the shot(s) of a man with semi-nude girls around him in a swimming pool. (1.46 m) || Delete the shot where Kelly bashes a goonda on a tree trunk. (0.97 m) || Delete the shot where Kelly pushes a henchman who falls off a cliff. (1.05 m)","","","","in.gazette.1983.401","1983-07-30T00:00:00Z","https://archive.org/details/in.gazette.1983.401"
"Garam Khoon","Hindi","Colour","","Toj Nath Zar","91993","29-2-80","A","B/F-391","11710","17.38","11712","[X] Suggestive shots of Helen where she executes bumps by her hips and breasts movements deleted. (6.71 m)","[II] Sequence of Johny with the girl in bed reduced, suggestive shots where Johny opens her bra from the back deleted. (10.67 m) (retained: 23.47 m)","","","in.gazette.1983.409","1983-10-15T00:00:00Z","https://archive.org/details/in.gazette.1983.409"
"Saboot","Hindi","Colour","","The Bharat Pictures","4614","29-3-80","A","B/F-393","3800.94","11.34","3789.6","[VII] Views of exposure of Rita while she is taking bath in a tub, and raising her legs up deleted. (11.34 m)","","","","in.gazette.1983.409","1983-10-15T00:00:00Z","https://archive.org/details/in.gazette.1983.409"
"Camouflage","English","Colour","","Film Polskl","4612","27-2-80","U","B/F-274","2729.37","5.67","2722.9","[II] Portion of the shot in which the Assistant Professor and English girl are seen in bed where he touches her bare breast and tries to kiss it deleted. (5.67 m)","","","","in.gazette.1983.409","1983-10-15T00:00:00Z","https://archive.org/details/in.gazette.1983.409"
"Ei To Sansar","Bengali","","","","090718","25-2-80","U","C/9152","3887.72","15.24","3872.48","","[5] Sequence of whipping of Radha by Sekhar reduced. (6.1 m) || [10] Sequence of whipping of Sekhar by Radha reduced. (9.14 m)","","","in.gazette.1983.409","1983-10-15T00:00:00Z","https://archive.org/details/in.gazette.1983.409"
"Sister","Hindi","Colour","","Godi Films. Satyagiri, 115-Dadasaheb Phalke Rd, Dadar, Bombay-14.","B/F-576","3-12-80","U","","","","","[I] Delete the shots of Vikas kissing Shanta and also suggestion of kissing. (1.35 m) || [I] Delete shots of Vikas rolling over Shanta in the fields. (7.32 m) || [I] Delete the dialogue of Vikas comparing police to dogs. (0.91 m) || [II] Delete the sequence of two persons passing obscene comments and making gestures at Shanta, the nurse. || [III] Delete the entire rape sequence including the shots of Shakkur injecting Shanta.","","","","in.gazette.1984.488","1984-05-26T00:00:00Z","https://archive.org/details/in.gazette.1984.488"
"Mountain Man","English","Col","","Charles E. Sellier","102114","21-8-82","U","","","","","[LI] Delete the dialogue of Mehta's Ratrary Padharima Padi Padi Kamaish' (13.01 m) || [XV] Reduce the overall impact of the fight between the opposing groups and delete the repeated crushing of villian's arms and limbs (49.08 m)","","","","in.gazette.1987.437","1987-02-07T00:00:00Z","https://archive.org/details/in.gazette.1987.437"
"Shikast","Hindi","","","Ashu Deep, 68, Tardoo Road, Bombay-7","B.7718","","A","","","","","[Reel No. IV] Shot of Mahamantri asking the Raja to postpone the matter. (1.2192 m)","","","","in.gazette.central.w.1953-10-03.104013","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.central.w.1953-10-03.104013"
"The Temple","English","Colour","16 mm","Edward William Fairbran, c/o Glaxo Laboratories (India) Ltd., Bombay-18","B.7788","","U","P.E.","","","","[Reel No. IV] Shot of Mahamantri asking the Raja to postpone the matter. (1.2192 m)","","","","in.gazette.central.w.1953-10-03.104013","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.central.w.1953-10-03.104013"
"Surang","Hindi","","","Rajkamal Kala Mandir Ltd., Shantahree, Govt. Gate Road, Bombay-12","B.7834","","A","","","","","[Reel No. III] All shots of dogs barking at the boy and girl, them picking up bread from the dog's plate, and dogs chasing the children until they fall from a cliff and are killed. (17.6784 m)","[Reel No. XV] All shots after Pagli Devi breaks Dayaram's hold, except showing Dayaram catching her arm. The sequence of Pagli Devi and Dayaram where they are permitted to remain. (retained: 30.7848 m)","[Reel No. I] One close-up shot of Munshi with dialogue stating that compensation for the dead body will be looked into later, and for the time being, it should be considered as expenses in connection with the burial. (1.2192 m)","","in.gazette.central.w.1953-10-03.104013","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.central.w.1953-10-03.104013"
"Papi","Hindi","","","Shri Ranjit Movietone Co., Main Road, Dadar, Bombay","2026","19-8-53","U","","","","","[Reel VI] Dialogue between a man and Raju from 'has un turafhai...' to '...bodi tagat bana gokte hain'. (12.4968 m) || [Reel XI] Dialogue between the child and Raju from 'Maluabaya jajima leto hal...' to '...main bachoha nahin terj atma hoon'. (16.764 m) || [Reel XII] Raju's words: 'Nakam...sarkar, ke Asmor'. (5.1816 m) || [Reel XII] Raju's words: 'puniyo...uddbar kar rakte hn'. (8.2296 m) || [Reel XII] Raju's words: 'Ohhnte morr huner...kaam karna secklio'. (4.2672 m)","","","","in.gazette.central.w.1953-10-03.104013","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.central.w.1953-10-03.104013"
"Thokar","Hindi","","","Jubilee Pictures Ltd., Sarita Villa, 7, Bungallows, Andheri, Bombay","8883","26-7-59","A","","","","","[Reel XIV] The song 'Ayegham-o- dil Karun'. (85.344 m)","","","","in.gazette.central.w.1953-10-03.104013","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.central.w.1953-10-03.104013"
"Gunah","Hindi","","","Kidar Sharma, Ambitious Picture, Tehurt Studio, Dadar, Bombay","8887","27-7-63","A","","","","","[Reel I & II] Scenes of Piddi's quarrel with the potter, Panditji guniy on the canal, and remarks of Pessi and Fateh Chand, including some portion of the mother's plea for sending the boy to school. (314.273 m)","","","","in.gazette.central.w.1953-10-03.104013","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.central.w.1953-10-03.104013"
"An Doopam","Malayalam","","","Momo. Associated Prodooor, 11-Gopala Lihda Road, Madru 17","8124-U","17-9-09","U","","","","","[Reel No. 2] In the mock-teacher scene of the schoolboys, delete the quiz regarding the ages of the husband, wife, and daughter, and one boy asking whether the daughter is married or not. (24.384 m) || [Reel No. 2] Delete the word 'Pananipalli' as the author of Ramayana. (1.8288 m) || [Reel No. 6] Delete the words, 'Don't trouble her', 'Use scientific means', etc., uttered by the colleagues of Bhokar in the College Hostel when he is taking his leave after studies. (7.3152 m) || [Reel No. 8] Delete Vikram's remarks, 'Radhabamothakrishda' as applied by him to the illegitimate connection between Shekar and Jayanthi, the dancing girl, when they are sitting on the sofa and beaten. (2.4384 m) || [Reel No. 20] Delete the word 'Euttichi'. (0.3048 m)","[Reel No. 16] Reduce the funeral pyre. (1.8288 m)","","","in.gazette.central.w.1953-10-03.104013","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.central.w.1953-10-03.104013"
"ApiMagan","Tamil","","","Momo. Associated Prodooor, 11-Gopala Lihda Road, Madru 17","8124-U","17-9-09","U","","","","","[Reel No. 2] In the clock-room scene, delete teacher's words, 'Ennappa Aco kooda mounayiratham rakkaya Unakkam Thani Mahanm Venuma!' (5.4864 m) || [Reel No. 3] Remove the dialogue which says 'Enno Iruppa Tvarthan avaravathellrennu oholrathuku ukon, ATBART padarayo'. (5.4864 m)","","","","in.gazette.central.w.1953-10-03.104013","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.central.w.1953-10-03.104013"
"Sitar","Bengali","","","The Radha Films Ltd., 72, Rugge Road South, Tollygunj, Caloutta-38","C.926","18-9-53","U","","","","","[Reel No. 2] In Reel No. 2, omit Sanatan's gesture regarding palms when he scandalizes Rita. (15.24 m) || [Reel No. 9] In Reel No. 9, omit the arguments between Shambok and Sri Ramachandra and omit the actual execution. (63.9984 m)","","","","in.gazette.central.w.1953-10-03.104013","1953-10-03T00:00:00Z","https://archive.org/details/in.gazette.central.w.1953-10-03.104013"
"The Man From the Alamo","English","","","20th Century Fox Corpn. (India) Ltd., Metro House, Dhobi Talao, Bombay","B-8242","","U","","2225.04","0.3048","2224.74","[Reel II] The word ""Pakistan"" (0.3048 m)","","","","in.gazette.central.w.1954-01-23.102306","1954-01-23T00:00:00Z","https://archive.org/details/in.gazette.central.w.1954-01-23.102306"
"The Golden Blade","English","","","Universal Pictures India Ltd., Mustafa Bldg., Sir P.M. Road, Bombay","B-8290","","U","","2187.72","18.288","2169.43","[Reel IV & V] The whole showing the bare legs of Bakhomon once walking towards the Princing while she in po prironed in the Talaco, recond wben lying with ITADI on the couch, third when sitting with Prinotto (14.6304 m)","","","","in.gazette.central.w.1954-01-23.102306","1954-01-23T00:00:00Z","https://archive.org/details/in.gazette.central.w.1954-01-23.102306"
"The Band Wagon","English","color","","Metro Goldwyn Mayer India Ltd., Metro House, Dhobi Talao, Bombay","B-8324","","U","","304.8","57.0048","247.795","[Reel VII] Shot of Gaby exposing underwear during dance with Tony after their compromise (2.4384 m) || [Reel XII] Ballerina in transparent blue dress revealing her figure as Tony holds her in his arm and as she moves round him retaining a flash showing her in his arms as he lifts her from her sliding position (2.7432 m)","","","","in.gazette.central.w.1954-01-23.102306","1954-01-23T00:00:00Z","https://archive.org/details/in.gazette.central.w.1954-01-23.102306"
"The Conquest of Everest","English","color","16 mm","London Films International Ltd., c/o Chartered Bank of India, Australia and China, Bombay","B-8301","","U","","219.456","1.8288","217.627","[Reel II] The word ""Pakistan"" (0.3048 m)","","","","in.gazette.central.w.1954-01-23.102306","1954-01-23T00:00:00Z","https://archive.org/details/in.gazette.central.w.1954-01-23.102306"
